Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,AbgNr,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,3,2,CDU/CSU,10,Albani,Stephan,,1,0,0,0,0,Stephan Albani
18,3,2,CDU/CSU,20,Albsteiger,Katrin,,1,0,0,0,0,Katrin Albsteiger
18,3,2,CDU/CSU,30,Altmaier,Peter,,1,0,0,0,0,Peter Altmaier
18,3,2,CDU/CSU,40,Auernhammer,Artur,,1,0,0,0,0,Artur Auernhammer
18,3,2,CDU/CSU,50,Bär,Dorothee,,1,0,0,0,0,Dorothee Bär
18,3,2,CDU/CSU,60,Bareiß,Thomas,,1,0,0,0,0,Thomas Bareiß
18,3,2,CDU/CSU,70,Barthle,Norbert,,1,0,0,0,0,Norbert Barthle
18,3,2,CDU/CSU,80,Bartz,Julia,,1,0,0,0,0,Julia Bartz
18,3,2,CDU/CSU,90,Baumann,Günter,,1,0,0,0,0,Günter Baumann
18,3,2,CDU/CSU,100,Beermann,Maik,,1,0,0,0,0,Maik Beermann
18,3,2,CDU/CSU,110,Behrens (Börde),Manfred,,1,0,0,0,0,Manfred Behrens (Börde)
18,3,2,CDU/CSU,120,Bellmann,Veronika,,1,0,0,0,0,Veronika Bellmann
18,3,2,CDU/CSU,130,Benning,Sybille,,1,0,0,0,0,Sybille Benning
18,3,2,CDU/CSU,140,Berghegger,Andre,,1,0,0,0,0,Dr. Andre Berghegger
18,3,2,CDU/CSU,150,Bergner,Christoph,,1,0,0,0,0,Dr. Christoph Bergner
18,3,2,CDU/CSU,160,Bertram,Ute,,1,0,0,0,0,Ute Bertram
18,3,2,CDU/CSU,170,Beyer,Peter,,1,0,0,0,0,Peter Beyer
18,3,2,CDU/CSU,180,Bilger,Steffen,,1,0,0,0,0,Steffen Bilger
18,3,2,CDU/CSU,190,Binninger,Clemens,,1,0,0,0,0,Clemens Binninger
18,3,2,CDU/CSU,200,Bleser,Peter,,1,0,0,0,0,Peter Bleser
18,3,2,CDU/CSU,210,Böhmer,Maria,,1,0,0,0,0,Dr. Maria Böhmer
18,3,2,CDU/CSU,220,Bosbach,Wolfgang,,1,0,0,0,0,Wolfgang Bosbach
18,3,2,CDU/CSU,230,Brackmann,Norbert,,1,0,0,0,0,Norbert Brackmann
18,3,2,CDU/CSU,240,Brähmig,Klaus,,0,0,0,0,1,Klaus Brähmig
18,3,2,CDU/CSU,250,Brand,Michael,,1,0,0,0,0,Michael Brand
18,3,2,CDU/CSU,260,Brandl,Reinhard,,1,0,0,0,0,Dr. Reinhard Brandl
18,3,2,CDU/CSU,270,Brandt,Helmut,,1,0,0,0,0,Helmut Brandt
18,3,2,CDU/CSU,280,Brauksiepe,Ralf,,1,0,0,0,0,Dr. Ralf Brauksiepe
18,3,2,CDU/CSU,290,Braun,Helge,,1,0,0,0,0,Dr. Helge Braun
18,3,2,CDU/CSU,300,Brehmer,Heike,,1,0,0,0,0,Heike Brehmer
18,3,2,CDU/CSU,310,Brinkhaus,Ralph,,1,0,0,0,0,Ralph Brinkhaus
18,3,2,CDU/CSU,320,Caesar,Cajus,,1,0,0,0,0,Cajus Caesar
18,3,2,CDU/CSU,330,Connemann,Gitta,,1,0,0,0,0,Gitta Connemann
18,3,2,CDU/CSU,340,Dinges-Dierig,Alexandra,,1,0,0,0,0,Alexandra Dinges-Dierig
18,3,2,CDU/CSU,350,Dobrindt,Alexander,,1,0,0,0,0,Alexander Dobrindt
18,3,2,CDU/CSU,380,Donth,Michael,,1,0,0,0,0,Michael Donth
18,3,2,CDU/CSU,360,Dörflinger,Thomas,,1,0,0,0,0,Thomas Dörflinger
18,3,2,CDU/CSU,370,Dött,Marie-Luise,,1,0,0,0,0,Marie-Luise Dött
18,3,2,CDU/CSU,390,Durz,Hansjörg,,1,0,0,0,0,Hansjörg Durz
18,3,2,CDU/CSU,400,Eckenbach,Jutta,,1,0,0,0,0,Jutta Eckenbach
18,3,2,CDU/CSU,410,Fabritius,Bernd,,1,0,0,0,0,Dr. Bernd Fabritius
18,3,2,CDU/CSU,420,Färber,Hermann,,1,0,0,0,0,Hermann Färber
18,3,2,CDU/CSU,430,Feiler,Uwe,,1,0,0,0,0,Uwe Feiler
18,3,2,CDU/CSU,440,Feist,Thomas,,1,0,0,0,0,Dr. Thomas Feist
18,3,2,CDU/CSU,450,Ferlemann,Enak,,1,0,0,0,0,Enak Ferlemann
18,3,2,CDU/CSU,460,Fischbach,Ingrid,,1,0,0,0,0,Ingrid Fischbach
18,3,2,CDU/CSU,470,Fischer (Hamburg),Dirk,,1,0,0,0,0,Dirk Fischer (Hamburg)
18,3,2,CDU/CSU,480,Fischer (Karlsruhe-Land),Axel E.,,1,0,0,0,0,Axel E. Fischer (Karlsruhe-Land)
18,3,2,CDU/CSU,490,Flachsbarth,Maria,,1,0,0,0,0,Dr. Maria Flachsbarth
18,3,2,CDU/CSU,500,Flosbach,Klaus-Peter,,1,0,0,0,0,Klaus-Peter Flosbach
18,3,2,CDU/CSU,510,Frei,Thorsten,,1,0,0,0,0,Thorsten Frei
18,3,2,CDU/CSU,520,Freudenstein,Astrid,,1,0,0,0,0,Dr. Astrid Freudenstein
18,3,2,CDU/CSU,530,Friedrich (Hof),Hans-Peter,,1,0,0,0,0,Dr. Hans-Peter Friedrich (Hof)
18,3,2,CDU/CSU,540,Frieser,Michael,,1,0,0,0,0,Michael Frieser
18,3,2,CDU/CSU,550,Fuchs,Michael,,0,0,0,0,1,Dr. Michael Fuchs
18,3,2,CDU/CSU,560,Fuchtel,Hans-Joachim,,1,0,0,0,0,Hans-Joachim Fuchtel
18,3,2,CDU/CSU,570,Funk,Alexander,,1,0,0,0,0,Alexander Funk
18,3,2,CDU/CSU,580,Gädechens,Ingo,,1,0,0,0,0,Ingo Gädechens
18,3,2,CDU/CSU,590,Gauweiler,Peter,,0,0,0,0,1,Dr. Peter Gauweiler
18,3,2,CDU/CSU,600,Gebhart,Thomas,,1,0,0,0,0,Dr. Thomas Gebhart
18,3,2,CDU/CSU,610,Gerig,Alois,,1,0,0,0,0,Alois Gerig
18,3,2,CDU/CSU,620,Gienger,Eberhard,,1,0,0,0,0,Eberhard Gienger
18,3,2,CDU/CSU,630,Giousouf,Cemile,,1,0,0,0,0,Cemile Giousouf
18,3,2,CDU/CSU,640,Göppel,Josef,,0,0,0,0,1,Josef Göppel
18,3,2,CDU/CSU,650,Grindel,Reinhard,,0,0,0,0,1,Reinhard Grindel
18,3,2,CDU/CSU,660,Groden-Kranich,Ursula,,1,0,0,0,0,Ursula Groden-Kranich
18,3,2,CDU/CSU,670,Gröhe,Hermann,,1,0,0,0,0,Hermann Gröhe
18,3,2,CDU/CSU,680,Gröhler,Klaus-Dieter,,1,0,0,0,0,Klaus-Dieter Gröhler
18,3,2,CDU/CSU,690,Grosse-Brömer,Michael,,1,0,0,0,0,Michael Grosse-Brömer
18,3,2,CDU/CSU,700,Grotelüschen,Astrid,,1,0,0,0,0,Astrid Grotelüschen
