Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
18,212,3,CDU/CSU,Albani,Stephan,,1,0,0,0,0,Stephan Albani,
18,212,3,CDU/CSU,Albsteiger,Katrin,,1,0,0,0,0,Katrin Albsteiger,
18,212,3,CDU/CSU,Altmaier,Peter,,0,0,0,0,1,Peter Altmaier,
18,212,3,CDU/CSU,Auernhammer,Artur,,0,0,0,0,1,Artur Auernhammer,
18,212,3,CDU/CSU,Bär,Dorothee,,1,0,0,0,0,Dorothee Bär,
18,212,3,CDU/CSU,Bareiß,Thomas,,1,0,0,0,0,Thomas Bareiß,
18,212,3,CDU/CSU,Barthle,Norbert,,1,0,0,0,0,Norbert Barthle,
18,212,3,CDU/CSU,Baumann,Günter,,1,0,0,0,0,Günter Baumann,
18,212,3,CDU/CSU,Beermann,Maik,,1,0,0,0,0,Maik Beermann,
18,212,3,CDU/CSU,Behrens (Börde),Manfred,,1,0,0,0,0,Manfred Behrens (Börde),
18,212,3,CDU/CSU,Bellmann,Veronika,,0,0,0,0,1,Veronika Bellmann,
18,212,3,CDU/CSU,Benning,Sybille,,1,0,0,0,0,Sybille Benning,
18,212,3,CDU/CSU,Berghegger,André,,1,0,0,0,0,Dr. André Berghegger,
18,212,3,CDU/CSU,Bergner,Christoph,,1,0,0,0,0,Dr. Christoph Bergner,
18,212,3,CDU/CSU,Bertram,Ute,,1,0,0,0,0,Ute Bertram,
18,212,3,CDU/CSU,Beyer,Peter,,1,0,0,0,0,Peter Beyer,
18,212,3,CDU/CSU,Bilger,Steffen,,1,0,0,0,0,Steffen Bilger,
18,212,3,CDU/CSU,Binninger,Clemens,,1,0,0,0,0,Clemens Binninger,
18,212,3,CDU/CSU,Bleser,Peter,,0,0,0,0,1,Peter Bleser,
18,212,3,CDU/CSU,Böhmer,Maria,,0,0,0,0,1,Dr. Maria Böhmer,
18,212,3,CDU/CSU,Bosbach,Wolfgang,,1,0,0,0,0,Wolfgang Bosbach,
18,212,3,CDU/CSU,Brackmann,Norbert,,1,0,0,0,0,Norbert Brackmann,
18,212,3,CDU/CSU,Brähmig,Klaus,,0,0,0,0,1,Klaus Brähmig,
18,212,3,CDU/CSU,Brand,Michael,,1,0,0,0,0,Michael Brand,
18,212,3,CDU/CSU,Brandl,Reinhard,,1,0,0,0,0,Dr. Reinhard Brandl,
18,212,3,CDU/CSU,Brandt,Helmut,,1,0,0,0,0,Helmut Brandt,
18,212,3,CDU/CSU,Brauksiepe,Ralf,,1,0,0,0,0,Dr. Ralf Brauksiepe,
18,212,3,CDU/CSU,Braun,Helge,,1,0,0,0,0,Dr. Helge Braun,
18,212,3,CDU/CSU,Brehmer,Heike,,1,0,0,0,0,Heike Brehmer,
18,212,3,CDU/CSU,Brinkhaus,Ralph,,1,0,0,0,0,Ralph Brinkhaus,
18,212,3,CDU/CSU,Caesar,Cajus,,1,0,0,0,0,Cajus Caesar,
18,212,3,CDU/CSU,Connemann,Gitta,,0,0,0,0,1,Gitta Connemann,
18,212,3,CDU/CSU,Dinges-Dierig,Alexandra,,0,0,0,0,1,Alexandra Dinges-Dierig,
18,212,3,CDU/CSU,Dobrindt,Alexander,,1,0,0,0,0,Alexander Dobrindt,
18,212,3,CDU/CSU,Donth,Michael,,1,0,0,0,0,Michael Donth,
18,212,3,CDU/CSU,Dörflinger,Thomas,,1,0,0,0,0,Thomas Dörflinger,
18,212,3,CDU/CSU,Dött,Marie-Luise,,1,0,0,0,0,Marie-Luise Dött,
18,212,3,CDU/CSU,Durz,Hansjörg,,1,0,0,0,0,Hansjörg Durz,
18,212,3,CDU/CSU,Eberl,Iris,,1,0,0,0,0,Iris Eberl,
18,212,3,CDU/CSU,Eckenbach,Jutta,,1,0,0,0,0,Jutta Eckenbach,
18,212,3,CDU/CSU,Fabritius,Bernd,,1,0,0,0,0,Dr. Bernd Fabritius,
18,212,3,CDU/CSU,Färber,Hermann,,0,0,0,0,1,Hermann Färber,
18,212,3,CDU/CSU,Feiler,Uwe,,1,0,0,0,0,Uwe Feiler,
18,212,3,CDU/CSU,Feist,Thomas,,1,0,0,0,0,Dr. Thomas Feist,
