Wahlperiode;Sitzungnr;Abstimmnr;Fraktion/Gruppe;Name;Vorname;Titel;ja;nein;Enthaltung;ungültig;nichtabgegeben;Bezeichnung;Bemerkung
18;228;2;CDU/CSU;Albani;Stephan;;0;1;0;0;0;Stephan Albani;
18;228;2;CDU/CSU;Albsteiger;Katrin;;0;1;0;0;0;Katrin Albsteiger;
18;228;2;CDU/CSU;Altmaier;Peter;;0;0;0;0;1;Peter Altmaier;
18;228;2;CDU/CSU;Auernhammer;Artur;;0;0;0;0;1;Artur Auernhammer;
18;228;2;CDU/CSU;Bär;Dorothee;;0;1;0;0;0;Dorothee Bär;
18;228;2;CDU/CSU;Bareiß;Thomas;;0;1;0;0;0;Thomas Bareiß;
18;228;2;CDU/CSU;Barthle;Norbert;;0;0;0;0;1;Norbert Barthle;
18;228;2;CDU/CSU;Baumann;Günter;;0;1;0;0;0;Günter Baumann;
18;228;2;CDU/CSU;Beermann;Maik;;0;1;0;0;0;Maik Beermann;
18;228;2;CDU/CSU;Behrens (Börde);Manfred;;0;1;0;0;0;Manfred Behrens (Börde);
18;228;2;CDU/CSU;Bellmann;Veronika;;0;1;0;0;0;Veronika Bellmann;
18;228;2;CDU/CSU;Benning;Sybille;;0;1;0;0;0;Sybille Benning;
18;228;2;CDU/CSU;Berghegger;André;;0;1;0;0;0;Dr. André Berghegger;
18;228;2;CDU/CSU;Bergner;Christoph;;0;0;0;0;1;Dr. Christoph Bergner;
18;228;2;CDU/CSU;Bertram;Ute;;0;1;0;0;0;Ute Bertram;
18;228;2;CDU/CSU;Beyer;Peter;;0;1;0;0;0;Peter Beyer;
18;228;2;CDU/CSU;Bilger;Steffen;;0;1;0;0;0;Steffen Bilger;
18;228;2;CDU/CSU;Binninger;Clemens;;0;1;0;0;0;Clemens Binninger;
18;228;2;CDU/CSU;Bleser;Peter;;0;1;0;0;0;Peter Bleser;
18;228;2;CDU/CSU;Böhmer;Maria;;0;0;0;0;1;Dr. Maria Böhmer;
18;228;2;CDU/CSU;Bosbach;Wolfgang;;0;0;0;0;1;Wolfgang Bosbach;
18;228;2;CDU/CSU;Brackmann;Norbert;;0;1;0;0;0;Norbert Brackmann;
18;228;2;CDU/CSU;Brähmig;Klaus;;0;1;0;0;0;Klaus Brähmig;
18;228;2;CDU/CSU;Brand;Michael;;0;1;0;0;0;Michael Brand;
18;228;2;CDU/CSU;Brandl;Reinhard;;0;1;0;0;0;Dr. Reinhard Brandl;
18;228;2;CDU/CSU;Brandt;Helmut;;0;1;0;0;0;Helmut Brandt;
18;228;2;CDU/CSU;Brauksiepe;Ralf;;0;1;0;0;0;Dr. Ralf Brauksiepe;
18;228;2;CDU/CSU;Braun;Helge;;0;1;0;0;0;Dr. Helge Braun;
18;228;2;CDU/CSU;Brehmer;Heike;;0;0;0;0;1;Heike Brehmer;
18;228;2;CDU/CSU;Brinkhaus;Ralph;;0;1;0;0;0;Ralph Brinkhaus;
18;228;2;CDU/CSU;Caesar;Cajus;;0;1;0;0;0;Cajus Caesar;
18;228;2;CDU/CSU;Connemann;Gitta;;0;1;0;0;0;Gitta Connemann;
18;228;2;CDU/CSU;Dinges-Dierig;Alexandra;;0;1;0;0;0;Alexandra Dinges-Dierig;
18;228;2;CDU/CSU;Dobrindt;Alexander;;0;1;0;0;0;Alexander Dobrindt;
18;228;2;CDU/CSU;Donth;Michael;;0;1;0;0;0;Michael Donth;
18;228;2;CDU/CSU;Dörflinger;Thomas;;0;1;0;0;0;Thomas Dörflinger;
18;228;2;CDU/CSU;Dött;Marie-Luise;;0;1;0;0;0;Marie-Luise Dött;
18;228;2;CDU/CSU;Durz;Hansjörg;;0;1;0;0;0;Hansjörg Durz;
18;228;2;CDU/CSU;Eberl;Iris;;0;1;0;0;0;Iris Eberl;
18;228;2;CDU/CSU;Eckenbach;Jutta;;0;1;0;0;0;Jutta Eckenbach;
18;228;2;CDU/CSU;Fabritius;Bernd;;0;0;0;0;1;Dr. Bernd Fabritius;
18;228;2;CDU/CSU;Färber;Hermann;;0;1;0;0;0;Hermann Färber;
18;228;2;CDU/CSU;Feiler;Uwe;;0;1;0;0;0;Uwe Feiler;
18;228;2;CDU/CSU;Feist;Thomas;;0;1;0;0;0;Dr. Thomas Feist;
18;228;2;CDU/CSU;Ferlemann;Enak;;0;1;0;0;0;Enak Ferlemann;
18;228;2;CDU/CSU;Fischbach;Ingrid;;0;1;0;0;0;Ingrid Fischbach;
18;228;2;CDU/CSU;Fischer (Hamburg);Dirk;;0;1;0;0;0;Dirk Fischer (Hamburg);
18;228;2;CDU/CSU;Fischer (Karlsruhe-Land);Axel E.;;0;1;0;0;0;Axel E. Fischer (Karlsruhe-Land);
18;228;2;CDU/CSU;Flachsbarth;Maria;;0;1;0;0;0;Dr. Maria Flachsbarth;
18;228;2;CDU/CSU;Flosbach;Klaus-Peter;;0;1;0;0;0;Klaus-Peter Flosbach;
18;228;2;CDU/CSU;Frei;Thorsten;;0;1;0;0;0;Thorsten Frei;
18;228;2;CDU/CSU;Freudenstein;Astrid;;0;1;0;0;0;Dr. Astrid Freudenstein;
18;228;2;CDU/CSU;Friedrich (Hof);Hans-Peter;;0;0;0;0;1;Dr. Hans-Peter Friedrich (Hof);
18;228;2;CDU/CSU;Frieser;Michael;;0;1;0;0;0;Michael Frieser;
18;228;2;CDU/CSU;Fuchs;Michael;;0;1;0;0;0;Dr. Michael Fuchs;
18;228;2;CDU/CSU;Fuchtel;Hans-Joachim;;0;0;0;0;1;Hans-Joachim Fuchtel;
18;228;2;CDU/CSU;Funk;Alexander;;0;1;0;0;0;Alexander Funk;
18;228;2;CDU/CSU;Gädechens;Ingo;;0;1;0;0;0;Ingo Gädechens;
18;228;2;CDU/CSU;Gebhart;Thomas;;0;1;0;0;0;Dr. Thomas Gebhart;
18;228;2;CDU/CSU;Gerig;Alois;;0;1;0;0;0;Alois Gerig;
18;228;2;CDU/CSU;Gienger;Eberhard;;0;1;0;0;0;Eberhard Gienger;
18;228;2;CDU/CSU;Giousouf;Cemile;;0;1;0;0;0;Cemile Giousouf;
18;228;2;CDU/CSU;Göppel;Josef;;0;1;0;0;0;Josef Göppel;
18;228;2;CDU/CSU;Groden-Kranich;Ursula;;0;1;0;0;0;Ursula Groden-Kranich;
