ABSTIMMUNG	cdu/csu	spd	die.linke	gruenen	fraktionslos	file
018-001-01	1.0	1.0	0.125	1.0	0	20140409_xls-data.csv
018-003-01	1.0	1.0	0.0	1.0	0	20131128_1_xls-data.csv
018-003-02	1.0	1.0	0.0	1.0	0	20131128_2_xls-data.csv
018-010-01	1.0	0.955056179775	0.0	0.963636363636	0	20140129_1_xls-data.csv
018-010-02	1.0	0.948571428571	0.0	0.0	0	20140129_2_xls-data.csv
018-011-01	0.983108108108	1.0	0.0	0.0	0	20140130_1_xls-data.csv
018-017-01	0.996699669967	0.909604519774	0.0	0.777777777778	0	20140220_1_xls-data.csv
018-017-02	0.996677740864	0.977272727273	0.0	0.946428571429	0	20140220_2_xls-data.csv
018-018-01	0.993220338983	0.98275862069	0.0	0.0	0	20140221_1_xls-data.csv
018-018-02	0.989795918367	1.0	1.0	1.0	0	20140221_2_xls-data.csv
018-020-01	0.988970588235	1.0	0.0	0.0	0	20140313_1_xls-data.csv
018-026-01	1.0	0.965517241379	0.0	0.0	0	20140403_1_xls-data.csv
018-026-02	1.0	1.0	0	1.0	0	20140403_2_xls-data.csv
018-026-03	0.0	0.0	1.0	0	0	20140403_3_xls-data.csv
018-030-01	1.0	0.982558139535	0.0	1.0	0	20140410_xls-data.csv
018-033-01	0.0	0.0117647058824	1.0	1.0	0	20140508_1_xls-data.csv
018-033-02	1.0	1.0	1.0	1.0	0	20140508_2_xls-data.csv
018-033-03	0.0	0.0	1.0	1.0	0	20140508_3_xls-data.csv
018-036-01	1.0	0.953757225434	0.0	0.0	0	20140522_1_xls-data.csv
018-036-02	0.00352112676056	0.0261437908497	1.0	1.0	0	20140522_2_xls-data.csv
018-036-03	0.0	0.00584795321637	1.0	1.0	0	20140522_3_xls-data.csv
018-036-04	1.0	1.0	0.0	0.0	0	20140522_4_xls-data.csv
018-037-01	0.0	0.0	1.0	1.0	0	20140523_1_xls-data.csv
018-037-02	0.0	0.0	1.0	1.0	0	20140523_2_xls-data.csv
018-037-03	0.0	0.0	1.0	1.0	0	20140523_3_xls-data.csv
018-037-04	0.969072164948	1.0	0	0.0	0	20140523_4_xls-data.csv
018-039-01	1.0	0.989010989011	0.0	0.981481481481	0	20140605_1_xls-data.csv
018-042-01	1.0	1.0	0.0	0.0	0	20140625_1_xls-data.csv
018-042-02	1.0	0.977011494253	0.0	0.946428571429	0	20140625_2_xls-data.csv
018-042-03	1.0	0.960451977401	0.0	0.961538461538	0	20140625_3_xls-data.csv
018-042-04	0.0	0.0	1.0	1.0	0	20140625_4_xls-data.csv
018-044-01	0.0	0.0054347826087	1.0	1.0	0	20140627_1_xls-data.csv
018-044-02	0.0	0.00546448087432	1.0	1.0	0	20140627_2_xls-data.csv
018-044-03	0.954545454545	0.994285714286	0.0	0.0	0	20140627_3_xls-data.csv
018-044-04	0.0	0.00561797752809	1.0	1.0	0	20140627_4_xls-data.csv
018-044-05	0.993055555556	0.994444444444	0.0	0.0	0	20140627_5_xls-data.csv
018-044-06	0.0	0.00552486187845	1.0	1.0	0	20140627_6_xls-data.csv
018-044-07	1.0	1.0	0.0	0.0	0	20140627_7_xls-data.csv
018-046-01	0.0	0.0	1.0	1.0	0	20140703_1_xls-data.csv
018-046-02	0.982817869416	1.0	0	1.0	0	20140703_2_xls-data.csv
018-046-03	0.0	0.00549450549451	1.0	1.0	0	20140703_3_xls-data.csv
018-046-04	0.985964912281	1.0	0.0	0.0178571428571	0	20140703_4_xls-data.csv
018-046-05	0.0	0.0	1.0	1.0	0	20140703_5_xls-data.csv
018-046-06	1.0	1.0	0.0	0.0	0	20140703_6_xls-data.csv
018-047-01	1.0	1.0	0.0	0	0	20140704_1_xls-data.csv
018-054-01	0.0	0.0	1.0	1.0	0	20140925_1_xls-data.csv
018-054-02	0.0	0.0	1.0	1.0	0	20140925_2_xls-data.csv
018-054-03	1.0	0.988636363636	0.0	0.0	0	20140925_3_xls-data.csv
018-060-01	0.0	0.0	1.0	1.0	0	20141016_1_xls-data.csv
018-061-01	0.0	0.0	1.0	1.0	0	20141017_1_xls-data.csv
018-061-02	0.0	0.0	1.0	1.0	0	20141017_2_xls-data.csv
018-061-03	0.0	0.0	1.0	0	0	20141017_3_xls-data.csv
018-061-04	0.0	0.0	1.0	1.0	0	20141017_4_xls-data.csv
018-066-01	0.0	0.0	1.0	0.0	0	20141113_1_xls-data.csv
018-066-02	0.0	0.0	0	1.0	0	20141113_2_xls-data.csv
018-066-03	1.0	1.0	0.0	0	0	20141113_3_xls-data.csv
018-066-04	0.0	0.0	1.0	0.0	0	20141113_4_xls-data.csv
018-066-05	0.0	0.0	1.0	0	0	20141113_5_xls-data.csv
018-066-06	0.0	0.0	0	1.0	0	20141113_6_xls-data.csv
018-066-07	0.0	0.0	0	1.0	0	20141113_7_xls-data.csv
018-066-08	1.0	1.0	0.0	0.0	0	20141113_8_xls-data.csv
018-066-09	1.0	0.994382022472	0.0	1.0	0	20141113_9_xls-data.csv
018-066-10	1.0	0.994382022472	0.0	1.0	0	20141113_10_xls-data.csv
018-069-01	1.0	1.0	0.0	0.0	0	20141126_1_xls-data.csv
018-071-01	1.0	1.0	0.0	0.0	0	20141128_1_xls-data.csv
018-071-02	0.0	0.00558659217877	1.0	1.0	0	20141128_2_xls-data.csv
018-076-01	0.996621621622	0.92817679558	0.0	0.209302325581	0	20141218_1_xls-data.csv
018-076-02	1.0	0.932960893855	0.0196078431373	0.0	0	20141218_2_xls-data.csv
018-076-03	0.0	0.0	1.0	1.0	0	20141218_3_xls-data.csv
018-076-04	1.0	1.0	0.0	0.0	0	20141218_4_xls-data.csv
018-082-01	0.996621621622	0.931034482759	0.0	0.0	0	20150129_1_xls-data.csv
018-082-02	1.0	0.953757225434	0.0	0.894736842105	0	20150129_2_xls-data.csv
018-088-01	1.0	0.977011494253	0.0	0.949152542373	0	20150226_1_xls-data.csv
018-089-01	0.900343642612	1.0	0.931818181818	1.0	0	20150227_1_xls-data.csv
018-091-01	0.0	0.0	1.0	1.0	0	20150305_1_xls-data.csv
018-091-02	0.0	0.0	1.0	1.0	0	20150305_2_xls-data.csv
018-097-01	1.0	0.971264367816	0.0	0.0	0	20150326_1_xls-data.csv
018-097-02	0.996389891697	1.0	0.0	0.0	0	20150326_2_xls-data.csv
018-098-01	0.0	0.0	0	1.0	0	20150327_1_xls-data.csv
018-098-02	0.0	0.0	0	1.0	0	20150327_2_xls-data.csv
018-098-03	1.0	0.932515337423	0.0	0.0	0	20150327_3_xls-data.csv
018-098-04	0.0	0.0	0	1.0	0	20150327_4_xls-data.csv
018-098-05	1.0	1.0	0.0	0.0	0	20150327_5_xls-data.csv
018-098-06	0.0	0.0	1.0	1.0	0	20150327_6_xls-data.csv
018-098-07	1.0	1.0	0	0.0	0	20150327_7_xls-data.csv
018-106-01	1.0	0.955056179775	0.0	0.0	0	20150521_1_xls-data.csv
018-106-02	1.0	0.988636363636	0.0	1.0	0	20150521_2_xls-data.csv
018-107-01	0.943859649123	0.994318181818	0.0	0.0	0	20150522_1_xls-data.csv
018-112-01	0.00335570469799	0.00564971751412	1.0	1.0	0	20150618_1_xls-data.csv
018-113-01	1.0	0.988764044944	0.0	0.981818181818	0	20150619_1_xls-data.csv
018-113-02	1.0	0.971590909091	0.0	0.948275862069	0	20150619_2_xls-data.csv
018-113-03	1.0	0.966480446927	0.0	0.962962962963	0	20150619_3_xls-data.csv
018-115-01	0.0	0.010989010989	0	1.0	0	20150702_1_xls-data.csv
018-115-02	0.0	0.0276243093923	1.0	1.0	0	20150702_2_xls-data.csv
018-115-03	0.0	0.0277777777778	1.0	1.0	0	20150702_3_xls-data.csv
018-115-04	0.0	0.0	1.0	1.0	0	20150702_4_xls-data.csv
018-115-05	1.0	0.994413407821	0.0	0.0	0	20150702_5_xls-data.csv
018-115-06	0.993127147766	0.994382022472	0.0	0.0	0	20150702_6_xls-data.csv
018-117-01	0.800664451827	0.977653631285	0.0	0.92	0	20150717_1_xls-data.csv
018-117-02	0.0	0.00558659217877	1.0	1.0	0	20150717_2_xls-data.csv
018-117-03	0.0	0.00558659217877	1.0	0.98275862069	0	20150717_3_xls-data.csv
018-118-01	0.783505154639	0.977401129944	0.0	0.981132075472	0	20150819_1_xls-data.csv
018-127-01	1.0	0.975903614458	0.0	0.0	0	20151001_1_xls-data.csv
018-127-02	1.0	1.0	0.0	0.0	0	20151001_2_xls-data.csv
018-127-03	1.0	0.993975903614	0	0.0	0	20151001_3_xls-data.csv
018-128-01	1.0	1.0	0.0	0	0	20151002_1_xls-data.csv
018-130-01	1.0	0.994318181818	0.0	0.0169491525424	0	20151015_1_xls-data.csv
018-130-02	1.0	0.960893854749	0.0	0.0175438596491	0	20151015_2_xls-data.csv
018-130-03	1.0	0.988571428571	0.0	0.0169491525424	0	20151015_3_xls-data.csv
018-130-04	1.0	1.0	0	1.0	0	20151015_4_xls-data.csv
018-130-05	1.0	0.994252873563	0.0	0.0909090909091	0	20151015_5_xls-data.csv
018-131-01	1.0	0.75	0.0	0.0	0	20151016_1_xls-data.csv
018-133-01	1.0	1.0	0.0	0	0	20151105_1_xls-data.csv
018-133-02	1.0	1.0	1.0	1.0	0	20151105_2_xls-data.csv
018-134-01	0.976351351351	0.971098265896	0.684210526316	0.483333333333	0	20151106_1_xls-data.csv
018-134-03	0.865979381443	0.413978494624	0.214285714286	0.316666666667	0	20151106_2_xls-data.csv
018-136-01	1.0	0.994252873563	0.0	1.0	0	20151112_1_xls-data.csv
018-136-02	1.0	0.994186046512	0.0	1.0	0	20151112_2_xls-data.csv
018-139-01	1.0	1.0	0.0	0.0	0	20151125_1_xls-data.csv
018-141-01	0.0	0.00561797752809	1.0	1.0	0	20151127_1_xls-data.csv
018-141-02	1.0	1.0	0.0	0.0	0	20151127_2_xls-data.csv
018-143-01	0.0	0.0	1.0	1.0	0	20151203_1_xls-data.csv
018-144-01	0.993127147766	0.845303867403	0.0	0.0535714285714	0	20151204_1_xls-data.csv
018-144-02	0.0	0.0	1.0	0.0	0	20151204_2_xls-data.csv
018-146-01	0.996666666667	0.905027932961	0.0	0.38	0	20151217_1_xls-data.csv
018-146-02	1.0	0.932960893855	0.0	0.0	0	20151217_2_xls-data.csv
018-152-01	1.0	0.953216374269	0.0	1.0	0	20160128_1_xls-data.csv
018-152-02	1.0	0.918128654971	0.0	0.153846153846	0	20160128_2_xls-data.csv
018-154-01	0.0	0.0	1.0	1.0	0	20160217_1_xls-data.csv
018-155-01	0.00347222222222	0.00555555555556	1.0	1.0	0	20160218_1_xls-data.csv
018-158-01	1.0	0.81976744186	0.0	0.0	0	20160225_1_xls-data.csv
018-158-02	0.996527777778	0.825581395349	0.0	0.0	0	20160225_2_xls-data.csv
018-158-03	0.00719424460432	0.00584795321637	1.0	1.0	0	20160225_3_xls-data.csv
018-160-01	0.0	0.0	1.0	0	0	20160316_1_xls-data.csv
018-161-01	1.0	0.966292134831	0.0	0.0	0	20160317_1_xls-data.csv
018-164-01	1.0	1.0	0.0	0	0	20160414_1_xls-data.csv
018-167-01	0.0174216027875	0.00704225352113	1.0	1.0	0	20160428_1_xls-data.csv
018-167-02	1.0	0.993548387097	0.0	0.0	0	20160428_2_xls-data.csv
018-170-01	0.0	0.0	1.0	1.0	0	20160512_1_xls-data.csv
018-170-02	0.0	0.0	1.0	1.0	0	20160512_2_xls-data.csv
018-170-03	1.0	1.0	0.0	0.0	0	20160512_3_xls-data.csv
018-170-04	1.0	0.976744186047	0.0	0.933333333333	0	20160512_4_xls-data.csv
018-170-05	1.0	0.96511627907	0.0	0.692307692308	0	20160512_5_xls-data.csv
018-171-01	1.0	0.869047619048	0.0	0.0	0	20160513_1_xls-data.csv
018-179-01	1.0	0.983606557377	0.0	0.962962962963	0	20160623_1_xls-data.csv
018-179-02	1.0	0.966850828729	0.0	0.962264150943	0	20160623_2_xls-data.csv
018-179-03	0.0	0.0	1.0	1.0	0	20160623_3_xls-data.csv
018-180-01	1.0	0.989071038251	0.0	0.0	0	20160624_1_xls-data.csv
018-180-02	0.996153846154	1.0	0.0	0.0	0	20160624_2_xls-data.csv
018-183-01	1.0	1.0	1.0	1.0	0	20160707_1_xls-data.csv
018-183-02	1.0	0.994565217391	0.0	0.0	0	20160707_2_xls-data.csv
018-183-03	1.0	0.994594594595	0.0	0.0	0	20160707_3_xls-data.csv
018-183-04	1.0	0.977011494253	0.0	0.0	0	20160707_4_xls-data.csv
018-184-01	0.982206405694	0.982456140351	0.0	0.0	0	20160708_1_xls-data.csv
018-190-01	0.0	0.0	1.0	0.0	0	20160922_1_xls-data.csv
018-190-03	0.00350877192982	0.0	1.0	1.0	0	20160922_3_xls-data.csv
018-190-04	1.0	0.964912280702	0.0	0.016393442623	0	20160922_2_xls-data.csv
018-193-01	1.0	1.0	0.0	0.0	0	20160929_1_xls-data.csv
018-193-02	1.0	1.0	0.0	0	0	20160929_2_xls-data.csv
018-193-03	1.0	0.934911242604	0.0	0.0	0	20160929_3_xls-data.csv
018-198-01	0.219931271478	0.539772727273	0.76	0.98275862069	0	20161109_1_xls-data.csv
018-198-02	0.0102040816327	0.281609195402	0.333333333333	0.0	0	20161109_2_xls-data.csv
018-198-03	0.81724137931	0.445086705202	0.313725490196	0.0	0	20161109_3_xls-data.csv
018-199-01	1.0	1.0	0.0	0.0	0	20161110_1_xls-data.csv
018-199-02	0.993127147766	0.852459016393	0.0	0.0	0	20161110_2_xls-data.csv
